"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc1AllClosed.benchCertainApprox","avgt",3,25,0.004980,0.000137,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc1AllClosed.benchUncertainApprox","avgt",3,25,0.006899,0.000119,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc2F4Open.benchCertainApprox","avgt",3,25,0.004962,0.000029,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc2F4Open.benchUncertainApprox","avgt",3,25,0.006957,0.000143,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc3F3Open.benchCertainApprox","avgt",3,25,0.004867,0.000014,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc3F3Open.benchUncertainApprox","avgt",3,25,0.006880,0.000079,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc4F3F4Open.benchCertainApprox","avgt",3,25,0.004906,0.000030,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc4F3F4Open.benchUncertainApprox","avgt",3,25,0.006809,0.000058,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc5F2Open.benchCertainApprox","avgt",3,25,0.004865,0.000035,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc5F2Open.benchUncertainApprox","avgt",3,25,0.006727,0.000120,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc6AllOpen.benchCertainApprox","avgt",3,25,0.004926,0.000066,"ms/op"
"duc.aintea.benchmark.loadapproximator.cabinet.Sc6AllOpen.benchUncertainApprox","avgt",3,25,0.006744,0.000076,"ms/op"
"duc.aintea.benchmark.loadapproximator.indirectPara.Sc1AllClosed.benchCertainApprox","avgt",3,25,0.014385,0.000088,"ms/op"
"duc.aintea.benchmark.loadapproximator.indirectPara.Sc1AllClosed.benchUncertainApprox","avgt",3,25,0.018352,0.000113,"ms/op"
